SG_SAGRI_H08,Y1,BSc (Hons) Agri-Food Science
SG_SAGRI_H08,Y2,BSc (Hons) Agri-Food Science
SG_SAPMS_H08,Y1,BSc (Hons) Applied Medical Sci
SG_SAPMS_H08,Y2,BSc (Hons) Applied Medical Sci
SG_SAPPL_B07,Y1,BSc Applied Archaeology L7
SG_SAPPL_B07,Y2,BSc Applied Archaeology L7
SG_SAPPL_B07,Y3,BSc Applied Archaeology L7
SG_SAPPL_C06,Y1,HC in Applied Archaeology L6
SG_SAPPL_C06,Y2,HC in Applied Archaeology L6
SG_SAPPL_H08,Y1,BSc Hons Applied Archaeology
SG_SAPPL_H08,Y2,BSc Hons Applied Archaeology
SG_SAPPL_H08,Y3,BSc Hons Applied Archaeology
SG_SAPPL_H08,Y4,BSc Hons Applied Archaeology
SG_SBIMA_S09,Y5,Certificate in BIM and Lean Co
SG_SBIOE_E07,Y1,Cert in Biopprocess Engineeri
SG_SBIOE_E07,Y3,Cert in Biopprocess Engineeri
SG_SBIOM_B07,Y1,BSc Biomedical Science L7
SG_SBIOM_B07,Y2,BSc Biomedical Science L7
SG_SBIOM_B07,Y3,BSc Biomedical Science L7
SG_SBIOP_E06,Y1,Certificate in Science in Bio
SG_SBIOP_E07,Y1,Certificate in Science in Bio
SG_SBIOP_E07,Y3,Certificate in Science in Bio
SG_SBIOP_E08,Y4,Level 8 Certificate in Science
SG_SBIOP_E09,Y5,Cert Biopharmaceutical Sci L9
SG_SBIOP_J07,Y2,BSc in Biopharmaceutical Sci 
SG_SBIOP_J07,Y3,BSc in Biopharmaceutical Sci 
SG_SBIOP_K08,Y4,BSc(Hons) in Biopharmaceutica
SG_SBIOP_M09,Y5,MSc Biopharmaceutical Sci L9
SG_SBIOP_M09,Y6,MSc Biopharmaceutical Sci L9
SG_SBIOP_O09,Y5,PGD Sci Biopharma Science L9
SG_SBIOP_O09,Y6,PGD Sci Biopharma Science L9
SG_SBIOT_E08,Y4,Certificate in Science in Biop
SG_SBPRO_M09,Y5,Master of Science in Bioproces
SG_SBPRO_O09,Y5,Postgraduate Diploma in Scienc
SG_SCLEA_E06,Y1,Cert in Cleanroom Manu L6
SG_SCONS_S09,Y5,Certificate in Construction La
SG_SEHSM_M09,Y5,Master of Science in EHS Manag
SG_SENVI_B07,Y1,BSc Environmental Protection
SG_SENVI_B07,Y2,BSc Environmental Protection
SG_SENVI_B07,Y3,BSc Environmental Protection
SG_SENVI_H08,Y1,BSc Hons Environmental Science
SG_SENVI_H08,Y2,BSc Hons Environmental Science
SG_SENVI_H08,Y3,BSc Hons Environmental Science
SG_SENVI_H08,Y4,BSc Hons Environmental Science
SG_SENVI_J07,Y3,BSc Environmental Management
SG_SENVI_K08,Y4,BSc Hons Environmental Science
SG_SENVM_K08,Y4,BSc Hons Environ Management L
SG_SENVP_M09,Y5,MSc Environmentl Protection L
SG_SENVP_M09,Y6,MSc Environmentl Protection L
SG_SENVP_O09,Y5,PGD Sci Environm Protection L
SG_SFORE_B07,Y1,BSc Forensic Investigation
SG_SFORE_B07,Y2,BSc Forensic Investigation
SG_SFORE_B07,Y3,BSc Forensic Investigation
SG_SFORE_H08,Y1,BSc Hons Forensic Investigatio
SG_SFORE_H08,Y2,BSc Hons Forensic Investigatio
SG_SFORE_H08,Y3,BSc Hons Forensic Investigatio
SG_SFORE_H08,Y4,BSc Hons Forensic Investigatio
SG_SFORE_H08,Y5,BSc Hons Forensic Investigatio
SG_SFORE_K08,Y4,BSc Hons Forensic Investigatio
SG_SGOOD_C06,Y1,HC Good Manu Practice&Tech L6
SG_SGOOD_C06,Y2,HC Good Manu Practice&Tech L6
SG_SHEAL_B07,Y1,BSc Health Sci & Physiology
SG_SHEAL_B07,Y2,BSc Health Sci & Physiology
SG_SHEAL_B07,Y3,BSc Health Sci & Physiology
SG_SHEAL_E06,Y1,Level 6 Special Purpose Award 
SG_SHEAL_H08,Y1,BSc (Hons) Health Sc Phys Acti
SG_SHEAL_H08,Y2,BSc (Hons) Health Sc Phys Acti
SG_SHUMA_B07,Y1,Bachelor of Science in Human N
SG_SHUMA_B07,Y2,Bachelor of Science in Human N
SG_SHUMA_B07,Y3,Bachelor of Science in Human N
SG_SHUMA_H08,Y1,BSc (Hons) Human Nutrition
SG_SHUMA_H08,Y2,BSc (Hons) Human Nutrition
SG_SHUMA_H08,Y3,BSc (Hons) Human Nutrition
SG_SHUMA_H08,Y4,BSc (Hons) Human Nutrition
SG_SINDU_M09,Y5,Master of Science in Industria
SG_SINDU_M09,Y6,Master of Science in Industria
SG_SIRIS_S06,Y1,Cert in Plant Identification
SG_SMEDB_L8,Y3,B.Sc (Hons) Medical Biotech L8
SG_SMEDI_E08,Y4,Certificate in Medical Device 
SG_SMEDI_H08,Y1,BSc Hons Medical Biotechnology
SG_SMEDI_H08,Y2,BSc Hons Medical Biotechnology
SG_SMEDI_H08,Y3,BSc Hons Medical Biotechnology
SG_SMEDI_H08,Y4,BSc Hons Medical Biotechnology
SG_SMEDI_K08,Y4,BSc Hons Medical Biotechnology
SG_SMEDI_L08,Y4,Higher Diploma in Science in M
SG_SMEDI_M09,Y5,Master of Science in Medical D
SG_SMEDI_M09,Y6,Master of Science in Medical D
SG_SMSC_R,Y5,M.Sc (Science) by Research L9
SG_SMSC_R,Y6,M.Sc (Science) by Research L9
SG_SMSC_R,Y7,M.Sc (Science) by Research L9
SG_SOCCU_B07,Y1,BSc Occup Safety & Health L7
SG_SOCCU_B07,Y2,BSc Occup Safety & Health L7
SG_SOCCU_B07,Y3,BSc Occup Safety & Health L7
SG_SOCCU_C06,Y1,HC Occup Safety & Health L6
SG_SOCCU_E06,Y1,Cert in Occ Safety & Health L
SG_SOCCU_H08,Y1,BSc Hons Occupational Safety
SG_SOCCU_H08,Y2,BSc Hons Occupational Safety
SG_SOCCU_H08,Y3,BSc Hons Occupational Safety
SG_SOCCU_H08,Y4,BSc Hons Occupational Safety
SG_SOCCU_J07,Y3,Bachelor of Science in Occupat
SG_SOCCU_K08,Y4,BSc Hons Occupational Safety
SG_SPHAD_B07,Y3,BSc Pharmaceutical Sci L7 DL
SG_SPHAR_B07,Y1,BSc Pharmaceutical Science
SG_SPHAR_B07,Y2,BSc Pharmaceutical Science
SG_SPHAR_B07,Y3,BSc Pharmaceutical Science
SG_SPHAR_H08,Y1,BSc Hons Pharmaceutical Scienc
SG_SPHAR_H08,Y2,BSc Hons Pharmaceutical Scienc
SG_SPHAR_H08,Y3,BSc Hons Pharmaceutical Scienc
SG_SPHAR_H08,Y4,BSc Hons Pharmaceutical Scienc
SG_SPHAR_K08,Y4,BSc Hons Pharmaceutical Scienc
SG_SPHD_P,Y7,Doctor of Philosophy L10
SG_SPHD_P,Y8,Doctor of Philosophy L10
SG_SPROJ_M09,Y5,Master of Science in Project M
SG_SPROJ_O09,Y5,Postgraduate Diploma in Scienc
SG_SPROJ_S09,Y5,Cert in Project Management L9
SG_SPUBL_K08,Y4,BSc Hons Public Hlth Promotion
SG_SQUAL_E09,Y5,SPA L9 Quality Analytics
SG_SQUAL_J07,Y3,BSc in Quality L7
SG_SSCIE_C06,Y1,Higher Certificate in Science
SG_SSCIE_C06,Y2,Higher Certificate in Science
SG_SSCIE_H08,Y1,Bachelor of Science (Hons)
SG_SSCIE_H08,Y2,Bachelor of Science (Hons)
SG_SSTRA_S09,Y5,Certificate in Strategic Const
SG_TADWO_B07,Y1,BSc Advanced Wood Sust Build
SG_TADWO_B07,Y2,BSc Advanced Wood Sust Build
SG_TADWO_B07,Y3,BSc Advanced Wood Sust Build
SG_TENER_M09,Y5,MSc in Energy Management L9
SG_VINTE_B07,Y1,BA in Interior Architecture
SG_VINTE_B07,Y2,BA in Interior Architecture
SG_VINTE_B07,Y3,BA in Interior Architecture
SG_WSOCI_M09,Y5,Master of Arts in Social Care 
SG_WSOCI_O09,Y5,Postgraduate Diploma in Arts i
